Track Name,Artist,Track ID
A Good Song Never Dies,Saint Motel,2BXSzLcipRr7DHNQW42NbG
DON'T WASTE MY TIME,LeGrand,6AD2fUHwbmJfjRWlPEl2Yb
All Eyes on Me,OR3O,0gg5h5BgdjVlXTti79TUao
Arrow,Polite Fiction,2v5J6VEWxP2s9VESGR7HaK
Carry on (We'll Be Here When You Get Back),Polite Fiction,0FYuGwqvfGxdsJ52hlehIL
Suzerainty,Polite Fiction,5Vwvk3cnOXMFiOgblVqdVA
A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,3j4viUIDSuB4xfYYlp3Lpa
Trouble,Elvis Presley,7JO9xpBP2uwgMMINJkc43y
City of Angels,Em Beihold,5amAJIEdIVtWYEi4wGp7Fn
A Life Less Ordinary (Need a Little Help),Motion City Soundtrack,1nZx8yKG0VhuZm0N67eth8
Disappear,Motion City Soundtrack,0V33glu7euozGGQMAobin4
Attractive Today,Motion City Soundtrack,5aqlJreIpMnlJk6EQVDdlH
Feel Like Rain,Motion City Soundtrack,3vPSGhUsgl8TG8w313eeiy
When You're Around,Motion City Soundtrack,7m6UCpVtgKo01gbzmzHofx
L.G. FUAD,Motion City Soundtrack,2gxfUzq0kLUwdHIo87aHIC
Hangman,Motion City Soundtrack,3zp77tJUUnzapFFrMkBiyW
Time Turned Fragile,Motion City Soundtrack,3XxHgc1rsitKKwkBtT4xIG
Better Open the Door,Motion City Soundtrack,6MxsvhhdxBhJxooO66zlO6
Goodnight Goodnight,Hot Hot Heat,40BgOdfYhsRf6yVepRFCzu
Lady Jesus,UPSAHL,4HkJ9MoO7sQHQ6hCxJN01w
Little Girl Gone,CHINCHILLA,5OLcsBO28uWHMzS0EEeZNp
When You Were Young,The Killers,70wYA8oYHoMzhRRkARoMhU
All These Things That I've Done,The Killers,5vollujufHY0jMZxx77VWr
Human,The Killers,1sTsuZTdANkiFd7T34H3nb
Somebody Told Me,The Killers,6PwjJ58I4t7Mae9xfZ9l9v
Mr. Brightside,The Killers,003vvx7Niy0yvhvHt4a68B
Mardy Bum,Arctic Monkeys,3geFzA6VBSNZUTmV3bCry6
I Bet You Look Good On The Dancefloor,Arctic Monkeys,29EkMZmUNz1WsuzaMtVo1i
Old Yellow Bricks,Arctic Monkeys,3BcQFPRZuuUClWStz29WjN
"If You Were There, Beware",Arctic Monkeys,0ZUXj43fteJjwvGoLMntte
This House Is a Circus,Arctic Monkeys,7gPd55hW5pVjTm3H9S1Wbv
Teddy Picker,Arctic Monkeys,4OkPamOn5GofkOQu64Z4eR
Balaclava,Arctic Monkeys,11DdPGqDsM3ux1gVAqUIln
D Is for Dangerous,Arctic Monkeys,45QyGXbqTWaFUrIKe2ugs3
Brianstorm,Arctic Monkeys,5rTIpPWeO0IL4HWlGWrz5G
When The Sun Goes Down,Arctic Monkeys,0ZRrJTPXDToRJ2iLo9oLrW
Fluorescent Adolescent,Arctic Monkeys,7e8utCy2JlSB8dRHKi49xM
Tears Over Beers,Modern Baseball,7hPLPHeKbwJrsuDHv4BCTA
Paranoia on Main Street,Demi the Daredevil,4lgRskrNiFAEvNl46raykq
Budapest,George Ezra,2ixsaeFioXJmMgkkbd4uj1
Valedictorian,Survival Kit,0Yf0LmhCA1EVaI6sc7Fubt
Stranger Things,Survival Kit,3LAN1Boblnlwg8IBI5UNle
Sideshow,Nick Lutsko,4hFMy4uUSJ4hFfYpAVd1OI
Notorious,UPSAHL,1yRFec062xYBYW4EsDVxMe
Time of my Life,UPSAHL,0Ojo5hkLDhqhoWq6kVEwDK
I've Seen Footage,Death Grips,7nCONy10IHp7XD3oYZ0lcx
Animal,Neon Trees,1fBl642IhJOE5U319Gy2Go
Using,Sorority Noise,5zXvIVOjU48L8TDnrnuvmg
No Complaints No Conversation,Watsky,3YpMMu0YPXcxUDdiUTxjYE
Welcome To The Family,Watsky,5RLfHNaPMYfdovGoTjqNpe
JAY-Z,Bohdi,00TUJp5sr3Af5dFAyLMzhd
Three Piece Suit and Sneakers,Mr.B The Gentleman Rhymer,5QH0D7IqWY9H2zPsijDglh
Drugs,UPSAHL,06ioYJ99HHjzRk8HrGfkKS
Toast,UPSAHL,7vo7zm5gpnGIqNMAjoG8XV
IDFWFEELINGS,UPSAHL,3OwwSM0Jua3YzzwLKe4Mwk
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,0hquQWY3xvYqN4qtiquniF
Howl,The Family Crest,5SuRudOviff3UMJYqCiNlx
Monica Lewinsky,UPSAHL,5pz38Kxq8O8fnCY7PAWkoQ
Lunatic,UPSAHL,3JRoUjaIQB7Ge6ceiGnmc2
Thriving,UPSAHL,05iLS2VOLss6mnHYDV0Lfd
Insane,Black Gryph0n,5flerg6aEao2VayZezVlgu
Drugs (feat. blackbear),UPSAHL,7yNtWh3dOprKjZd3HF2kFJ
Flowers,The Faim,7ucHXmOqOCw0tohI4vmOZT
ERA,The Faim,0gygRGajWDhrjMn2qtVHKw
Never Going Back,The Score,5k02Wjsu2MdpF3c9VFQD0k
All Time Low,Jon Bellion,0SuLAslEMFZAXf0SwY7syi
Soul Wars,AWOLNATION,1VzvqwoNutPeNRxdcNF234
Burn It Down,AWOLNATION,6i437GRbgBszGDZk3meYBB
Jump on My Shoulders,AWOLNATION,0TP5vrRF0rpUcbdI2dmO5v
"You're Not Special, Babe",Orla Gartland,0GaVSVifeBSwnNTNordPGC
About Damn Time,Lizzo,6HMtHNpW6YPi1hrw9tgF8P
Happy Endings (feat. iann dior and UPSAHL),Mike Shinoda,1nPd60em5Qwp0NPykFz5Xj
Goodbye,Bo Burnham,2ySaltE2swk0QsimILPK05
Bezos II,Bo Burnham,2lP7CnBYhKaOIBGxHqARRR
Welcome to The Internet,Bo Burnham,3s44Qv8x974tm0ueLexMWN
Shit,Bo Burnham,3FFYH9A5rLqohxQhNW4Qka
30,Bo Burnham,7q2vosjX9aP8XxKFs7nakK
Problematic,Bo Burnham,54raQ1qeuAqfsQ3A5k7L8A
Look Who’s Inside Again,Bo Burnham,0lZZ8pibk6Zu3M9hTthk1a
Bezos I,Bo Burnham,5aszL9hl6SBzFNsOvw8u8w
White Woman’s Instagram,Bo Burnham,20bNmfHntXFvYInCEQZYfp
How the World Works,Bo Burnham,1zsbPstcJxnY0zuKFFOKKZ
Comedy,Bo Burnham,50MhgV5PrQmCSuEELaYp9R
Content,Bo Burnham,4GDL4Rl9ov0OctWIm6ZkoR
Work Bitch,Britney Spears,3KliPMvk1EvFZu9cvkj8p1
Hayloft II,Mother Mother,2jlYEGjc0QcXcwhvVEq2RL
Hayloft II (Burning Barn Acoustic),Mother Mother,4zZEz9KnSlTjMqjUayzekA
Hayloft (Burning Barn Acoustic),Mother Mother,0j0oS0deKnO5GZG8FrmRLW
2012 - 2020 Remastered Version,Will Wood and the Tapeworms,0Mqesd3aADZ9ptEW8bbf4P
Mr. Capgras Encounters a Secondhand Vanity: Tulpamancer's Prosopagnosia / Pareidolia (As Direct Result of Trauma to the Fusiform Gyrus) - 2020 Remastered Version,Will Wood and the Tapeworms,2BecBmHQWeTVjZPClGi4o0
